comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;3.0TD;TOPACIO;CONS. 150.000 - 200.000 KW;;;2.686,00 €;2.283,10 €;2.148,80 €;1.933,92 €;214,88 €;1.719,04 €;429,76 €;1.074,40 €;1.074,40 €
ALUMBRA;3.0TD;TOPACIO;CONS. 200.000 - 300.000 KW;;;3.087,00 €;2.623,95 €;2.469,60 €;2.222,64 €;246,96 €;1.975,68 €;493,92 €;1.234,80 €;1.234,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 300.000 - 400.000 KW;;;3.737,00 €;3.176,45 €;2.989,60 €;2.690,64 €;298,96 €;2.391,68 €;597,92 €;1.494,80 €;1.494,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 400.000 - 500.000 KW;;;4.388,00 €;3.729,80 €;3.510,40 €;3.159,36 €;351,04 €;2.808,32 €;702,08 €;1.755,20 €;1.755,20 €
ALUMBRA;3.0TD;TOPACIO;CONS. 500.000 - 700.000 KW;;;6.041,00 €;5.134,85 €;4.832,80 €;4.349,52 €;483,28 €;3.866,24 €;966,56 €;2.416,40 €;2.416,40 €
ALUMBRA;3.0TD;TOPACIO;CONS. 700.000 - 1.200.000 KW;;;8.031,00 €;6.826,35 €;6.424,80 €;5.782,32 €;642,48 €;5.139,84 €;1.284,96 €;3.212,40 €;3.212,40 €
ALUMBRA;3.0TD;TOPACIO;CONS. 1.200.000 - 2.500.000 KW;;;12.998,00 €;11.048,30 €;10.398,40 €;9.358,56 €;1.039,84 €;8.318,72 €;2.079,68 €;5.199,20 €;5.199,20 €
ALUMBRA;3.0TD;TOPACIO;CONS. > 2.500.000 KW;;;14.586,00 €;12.398,10 €;11.668,80 €;10.501,92 €;1.166,88 €;9.335,04 €;2.333,76 €;5.834,40 €;5.834,40 €
ALUMBRA;6.1TD;TOPACIO;CONS. 0 - 5.000 KW;;;182,00 €;154,70 €;145,60 €;131,04 €;14,56 €;116,48 €;29,12 €;72,80 €;72,80 €
ALUMBRA;6.1TD;TOPACIO;CONS. 5.000 - 10.000 KW;;;259,00 €;220,15 €;207,20 €;186,48 €;20,72 €;165,76 €;41,44 €;103,60 €;103,60 €
ALUMBRA;6.1TD;TOPACIO;CONS. 10.000 - 20.000 KW;;;397,00 €;337,45 €;317,60 €;285,84 €;31,76 €;254,08 €;63,52 €;158,80 €;158,80 €
ALUMBRA;6.1TD;TOPACIO;CONS. 20.000 - 30.000 KW;;;683,00 €;580,55 €;546,40 €;491,76 €;54,64 €;437,12 €;109,28 €;273,20 €;273,20 €
ALUMBRA;6.1TD;TOPACIO;CONS. 30.000 - 40.000 KW;;;760,00 €;646,00 €;608,00 €;547,20 €;60,80 €;486,40 €;121,60 €;304,00 €;304,00 €
ALUMBRA;6.1TD;TOPACIO;CONS. 40.000 - 50.000 KW;;;837,00 €;711,45 €;669,60 €;602,64 €;66,96 €;535,68 €;133,92 €;334,80 €;334,80 €
ALUMBRA;6.1TD;TOPACIO;CONS. 50.000 - 70.000 KW;;;1.560,00 €;1.326,00 €;1.248,00 €;1.123,20 €;124,80 €;998,40 €;249,60 €;624,00 €;624,00 €
ALUMBRA;6.1TD;TOPACIO;CONS. 70.000 - 100.000 KW;;;2.011,00 €;1.709,35 €;1.608,80 €;1.447,92 €;160,88 €;1.287,04 €;321,76 €;804,40 €;804,40 €
ALUMBRA;6.1TD;TOPACIO;CONS. 100.000 - 150.000 KW;;;2.688,00 €;2.284,80 €;2.150,40 €;1.935,36 €;215,04 €;1.720,32 €;430,08 €;1.075,20 €;1.075,20 €
ALUMBRA;6.1TD;TOPACIO;CONS. 150.000 - 200.000 KW;;;3.155,00 €;2.681,75 €;2.524,00 €;2.271,60 €;252,40 €;2.019,20 €;504,80 €;1.262,00 €;1.262,00 €
ALUMBRA;6.1TD;TOPACIO;CONS. 200.000 - 300.000 KW;;;4.261,00 €;3.621,85 €;3.408,80 €;3.067,92 €;340,88 €;2.727,04 €;681,76 €;1.704,40 €;1.704,40 €
ALUMBRA;6.1TD;TOPACIO;CONS. 300.000 - 400.000 KW;;;5.454,00 €;4.635,90 €;4.363,20 €;3.926,88 €;436,32 €;3.490,56 €;872,64 €;2.181,60 €;2.181,60 €
ALUMBRA;6.1TD;TOPACIO;CONS. 400.000 - 500.000 KW;;;6.646,00 €;5.649,10 €;5.316,80 €;4.785,12 €;531,68 €;4.253,44 €;1.063,36 €;2.658,40 €;2.658,40 €
ALUMBRA;6.1TD;TOPACIO;CONS. 500.000 - 700.000 KW;;;8.955,00 €;7.611,75 €;7.164,00 €;6.447,60 €;716,40 €;5.731,20 €;1.432,80 €;3.582,00 €;3.582,00 €
ALUMBRA;6.1TD;TOPACIO;CONS. 700.000 - 1.200.000 KW;;;10.708,00 €;9.101,80 €;8.566,40 €;7.709,76 €;856,64 €;6.853,12 €;1.713,28 €;4.283,20 €;4.283,20 €
ALUMBRA;6.1TD;TOPACIO;CONS. 1.200.000 - 2.500.000 KW;;;16.492,00 €;14.018,20 €;13.193,60 €;11.874,24 €;1.319,36 €;10.554,88 €;2.638,72 €;6.596,80 €;6.596,80 €
