comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 3.001 - 5.000 KW;;;121,00 €;102,85 €;96,80 €;87,12 €;9,68 €;77,44 €;19,36 €;48,40 €;48,40 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 5.001 - 10.000 KW;;;165,00 €;140,25 €;132,00 €;118,80 €;13,20 €;105,60 €;26,40 €;66,00 €;66,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 10.001 - 20.000 KW;;;284,00 €;241,40 €;227,20 €;204,48 €;22,72 €;181,76 €;45,44 €;113,60 €;113,60 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 20.001 - 35.000 KW;;;336,00 €;285,60 €;268,80 €;241,92 €;26,88 €;215,04 €;53,76 €;134,40 €;134,40 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 35.001 - 50.000 KW;;;440,00 €;374,00 €;352,00 €;316,80 €;35,20 €;281,60 €;70,40 €;176,00 €;176,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 50.001 - 65.000 KW;;;602,00 €;511,70 €;481,60 €;433,44 €;48,16 €;385,28 €;96,32 €;240,80 €;240,80 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 65.001 - 85.000 KW;;;702,00 €;596,70 €;561,60 €;505,44 €;56,16 €;449,28 €;112,32 €;280,80 €;280,80 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 85.001 - 100.000 KW;;;828,00 €;703,80 €;662,40 €;596,16 €;66,24 €;529,92 €;132,48 €;331,20 €;331,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 0 - 1.500 KW;;;129,00 €;109,65 €;103,20 €;92,88 €;10,32 €;82,56 €;20,64 €;51,60 €;51,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 1.501 - 3.000 KW;;;158,00 €;134,30 €;126,40 €;113,76 €;12,64 €;101,12 €;25,28 €;63,20 €;63,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 3.001 - 5.000 KW;;;160,00 €;136,00 €;128,00 €;115,20 €;12,80 €;102,40 €;25,60 €;64,00 €;64,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 5.001 - 10.000 KW;;;189,00 €;160,65 €;151,20 €;136,08 €;15,12 €;120,96 €;30,24 €;75,60 €;75,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 10.001 - 20.000 KW;;;283,00 €;240,55 €;226,40 €;203,76 €;22,64 €;181,12 €;45,28 €;113,20 €;113,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 20.001 - 30.000 KW;;;408,00 €;346,80 €;326,40 €;293,76 €;32,64 €;261,12 €;65,28 €;163,20 €;163,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 30.001 - 40.000 KW;;;496,00 €;421,60 €;396,80 €;357,12 €;39,68 €;317,44 €;79,36 €;198,40 €;198,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 40.001 - 50.000 KW;;;569,00 €;483,65 €;455,20 €;409,68 €;45,52 €;364,16 €;91,04 €;227,60 €;227,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 50.001 - 75.000 KW;;;757,00 €;643,45 €;605,60 €;545,04 €;60,56 €;484,48 €;121,12 €;302,80 €;302,80 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 75.001 - 100.000 KW;;;987,00 €;838,95 €;789,60 €;710,64 €;78,96 €;631,68 €;157,92 €;394,80 €;394,80 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 100.001 - 150.000 KW;;;1.252,00 €;1.064,20 €;1.001,60 €;901,44 €;100,16 €;801,28 €;200,32 €;500,80 €;500,80 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 150.001 - 200.000 KW;;;1.584,00 €;1.346,40 €;1.267,20 €;1.140,48 €;126,72 €;1.013,76 €;253,44 €;633,60 €;633,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 200.001 - 300.000 KW;;;1.912,00 €;1.625,20 €;1.529,60 €;1.376,64 €;152,96 €;1.223,68 €;305,92 €;764,80 €;764,80 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 300.001 - 500.000 KW;;;2.573,00 €;2.187,05 €;2.058,40 €;1.852,56 €;205,84 €;1.646,72 €;411,68 €;1.029,20 €;1.029,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 500.001 - 750.000 KW;;;4.047,00 €;3.439,95 €;3.237,60 €;2.913,84 €;323,76 €;2.590,08 €;647,52 €;1.618,80 €;1.618,80 €
TOTAL_PYME;3.0TD;CLASICA BASE TE3;CONS. 750.001 - 1.000.000 KW;;;6.057,00 €;5.148,45 €;4.845,60 €;4.361,04 €;484,56 €;3.876,48 €;969,12 €;2.422,80 €;2.422,80 €
TOTAL_PYME;6.1TD;CLASICA BASE TE3;CONS. 0 - 3.000 KW;;;306,00 €;260,10 €;244,80 €;220,32 €;24,48 €;195,84 €;48,96 €;122,40 €;122,40 €
TOTAL_PYME;6.1TD;CLASICA BASE TE3;CONS. 3.001 - 5.000 KW;;;341,00 €;289,85 €;272,80 €;245,52 €;27,28 €;218,24 €;54,56 €;136,40 €;136,40 €
TOTAL_PYME;6.1TD;CLASICA BASE TE3;CONS. 5.001 - 10.000 KW;;;445,00 €;378,25 €;356,00 €;320,40 €;35,60 €;284,80 €;71,20 €;178,00 €;178,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE3;CONS. 10.001 - 20.000 KW;;;465,00 €;395,25 €;372,00 €;334,80 €;37,20 €;297,60 €;74,40 €;186,00 €;186,00 €
